Rank,Temperature,Category1,Category2,Name,Short Name,Size,Calories,Calories_Modified,Sugars (g),Image,Dietary Fibre (g),Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carbohydrates (g),Protein (g),Caffeine (mg)
,Hot,Hot Drinks,Hot Chocolates,White Hot Chocolate,,Grande,440,440,55,https://globalassets.starbucks.com/assets/0819fb73cd904e8aa2c7e8beae341f04.jpg,,,,,,,,,
,Hot,Hot Drinks,Juice,Caramel Apple Spice,,Grande,380,380,71,https://globalassets.starbucks.com/assets/878b34f91f924460bc10570a6d75f060.jpg,,,,,,,,,
,Hot,Hot Drinks,Juice,Steamed Apple Juice,,Grande,220,220,50,https://globalassets.starbucks.com/assets/a9e551eb323e4f0a93cf91b165916950.jpg,,,,,,,,,
,Hot,Hot Drinks,Steamers,Cinnamon Dolce Crème,,Grande,350,350,43,https://globalassets.starbucks.com/assets/07a3db7c1c3d4f238187ac587fb9f12e.jpg,,,,,,,,,
,Hot,Hot Drinks,Steamers,Smoked Butterscotch Crème,,Grande,360,360,43,https://globalassets.starbucks.com/assets/29bfcdc5f9854ac19809b471fe1154c9.jpg,,,,,,,,,
,Hot,Hot Drinks,Steamers,Steamed Milk,,Grande,200,200,19,https://globalassets.starbucks.com/assets/8b656cabb99344269543833b7e787bbd.jpg,,,,,,,,,
,Hot,Hot Drinks,Steamers,Vanilla Crème,,Grande,330,330,38,https://globalassets.starbucks.com/assets/08cbcc04c487480d9587414ea1977ce7.jpg,,,,,,,,,
,Hot,Hot Teas,Black Teas,Earl Grey Tea,,Grande,0,0,0,https://globalassets.starbucks.com/assets/6f780d5d392542c6b9b1a4412881cecc.jpg,,,,,,,,,
,Hot,Hot Teas,Black Teas,London Fog Tea Latte,London Fog Tea Latte,Grande,180,180,29,https://globalassets.starbucks.com/assets/180da7ecb6fa4d2686babe5619fa7b84.jpg,,,,,,,,,
,Hot,Hot Teas,Black Teas,Rev Up Brewed Wellness Tea,,Grande,0,182.5,0,https://globalassets.starbucks.com/assets/67a499b71ba54597af1e69a83438082b.jpg,,,,,,,,,
24,Hot,Hot Teas,Black Teas,Royal English Breakfast Black Tea,,Grande,0,185,0,https://globalassets.starbucks.com/assets/e3554d07d1394ee79cfad80a383ba163.jpg,,,,,,,,,
,Hot,Hot Teas,Black Teas,Royal English Breakfast Tea Latte,Royal English Breakfast Tea Latte,Grande,150,150,21,https://globalassets.starbucks.com/assets/919eb07194f44a0b842c0260c3a286d8.jpg,,,,,,,,,
9,Hot,Hot Teas,Chai Teas,Chai Latte,,Grande,240,240,42,https://globalassets.starbucks.com/assets/2d52f16a22fb40ff898be1815ecc952e.jpg,,,,,,,,,
,Hot,Hot Teas,Chai Teas,Teavana® Chai Tea,,Grande,0,242.5,0,https://globalassets.starbucks.com/assets/49bf4333e9d048498a59a5a2b958165f.jpg,,,,,,,,,
10,Hot,Hot Teas,Green Teas,Emperor’s Clouds & Mist®,,Grande,0,245,0,https://globalassets.starbucks.com/assets/1a84d455abd84ac3b356c6523fce9ac8.jpg,,,,,,,,,
