Rank,Category1,Category2,Name,Size,Calories,Sugars (g),Image,Dietary Fibre (g),Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carbohydrates (g),Protein (g),Caffeine (mg)
17,Hot Coffees,Flat Whites,Flat White,Short,110,8,https://globalassets.starbucks.com/assets/9eb90cb6981d42f5859376c4be666060.jpg,,,,,,,,,
17,Hot Coffees,Flat Whites,Flat White,Tall,170,13,https://globalassets.starbucks.com/assets/9eb90cb6981d42f5859376c4be666060.jpg,,,,,,,,,
17,Hot Coffees,Flat Whites,Flat White,Grande,220,17,https://globalassets.starbucks.com/assets/9eb90cb6981d42f5859376c4be666060.jpg,,,,,,,,,
17,Hot Coffees,Flat Whites,Flat White,Venti,290,22,https://globalassets.starbucks.com/assets/9eb90cb6981d42f5859376c4be666060.jpg,,,,,,,,,
25,Hot Coffees,Flat Whites,Almondmilk Honey Flat White,Short,80,12,https://globalassets.starbucks.com/assets/77801559b72b469583f4d484adc1bfa7.jpg,,,,,,,,,
25,Hot Coffees,Flat Whites,Almondmilk Honey Flat White,Tall,120,18,https://globalassets.starbucks.com/assets/77801559b72b469583f4d484adc1bfa7.jpg,,,,,,,,,
25,Hot Coffees,Flat Whites,Almondmilk Honey Flat White,Grande,170,24,https://globalassets.starbucks.com/assets/77801559b72b469583f4d484adc1bfa7.jpg,,,,,,,,,
25,Hot Coffees,Flat Whites,Almondmilk Honey Flat White,Venti,210,31,https://globalassets.starbucks.com/assets/77801559b72b469583f4d484adc1bfa7.jpg,,,,,,,,,
,Hot Coffees,Flat Whites,Starbucks® Blonde Flat White,Short,110,8,https://globalassets.starbucks.com/assets/fedee22e49724cd09fbcc7ee2e567377.jpg,,,,,,,,,
,Hot Coffees,Flat Whites,Starbucks® Blonde Flat White,Tall,170,13,https://globalassets.starbucks.com/assets/fedee22e49724cd09fbcc7ee2e567377.jpg,,,,,,,,,
,Hot Coffees,Flat Whites,Starbucks® Blonde Flat White,Grande,220,17,https://globalassets.starbucks.com/assets/fedee22e49724cd09fbcc7ee2e567377.jpg,,,,,,,,,
,Hot Coffees,Flat Whites,Starbucks® Blonde Flat White,Venti,290,22,https://globalassets.starbucks.com/assets/fedee22e49724cd09fbcc7ee2e567377.jpg,,,,,,,,,
,Hot Coffees,Flat Whites,Almondmilk Honey Flat White with Starbucks® Blonde Espresso,Short,60,7,https://globalassets.starbucks.com/assets/77801559b72b469583f4d484adc1bfa7.jpg,,,,,,,,,
,Hot Coffees,Flat Whites,Almondmilk Honey Flat White with Starbucks® Blonde Espresso,Tall,110,14,https://globalassets.starbucks.com/assets/77801559b72b469583f4d484adc1bfa7.jpg,,,,,,,,,
,Hot Coffees,Flat Whites,Almondmilk Honey Flat White with Starbucks® Blonde Espresso,Grande,150,20,https://globalassets.starbucks.com/assets/77801559b72b469583f4d484adc1bfa7.jpg,,,,,,,,,
,Hot Coffees,Flat Whites,Almondmilk Honey Flat White with Starbucks® Blonde Espresso,Venti,190,26,https://globalassets.starbucks.com/assets/77801559b72b469583f4d484adc1bfa7.jpg,,,,,,,,,
